"CÓDIGO DE LA SERIE",DTCCBCEUSDEUR.B,DTCCBCEJPYEUR.B,DTCCBCECHFEUR.B,DTCCBCEGBPEUR.B,DTCCBCEBGNEUR.B,DTCCBCECZKEUR.B,DTCCBCEDKKEUR.B,DTCCBCEHUFEUR.B,DTCCFMIXDREUR.B,DTCCBCEPLNEUR.B,DTCCBCERONEUR.B,DTCCBCESEKEUR.B,DTCCBCEISKEUR.B,DTCCBCENOKEUR.B,DTCCBCEHRKEUR.B,DTCCBCERUBEUR.B,DTCCBCETRYEUR.B,DTCCBCEAUDEUR.B,DTCCBCEBRLEUR.B,DTCCBCECADEUR.B,DTCCBCECNYEUR.B,DTCCBCEHKDEUR.B,DTCCBCEIDREUR.B,DTCCBCEILSEUR.B,DTCCBCEINREUR.B,DTCCBCEKRWEUR.B,DTCCBCEMXNEUR.B,DTCCBCEMYREUR.B,DTCCBCENZDEUR.B,DTCCBCEPHPEUR.B,DTCCBCESGDEUR.B,DTCCBCETHBEUR.B,DTCCBCEZAREUR.B
"11 FEB 2003",1.0706,130.0400,1.4669,0.66060,1.9521,31.8030,7.4322,245.0400,0.7845,4.1395,35167.0000,9.1450,82.8500,7.4660,7.5855,33.9879,1770000.0000,1.8180,3.8172,1.6366,8.8614,8.3500,9595.6900,5.2042,51.0670,1290.1300,11.6519,4.0673,1.9525,57.6810,1.8813,46.1321,9.0969
"12 FEB 2003",1.0731,129.9600,1.4674,0.66380,1.9527,31.7930,7.4335,244.9500,0.7847,4.1397,34955.0000,9.1338,83.0600,7.4615,7.5895,33.9704,1774000.0000,1.8130,3.8605,1.6403,8.8820,8.3695,9623.4900,5.2153,51.3540,1286.9200,11.7924,4.0791,1.9450,57.8860,1.8814,46.1584,9.0154
"13 FEB 2003",1.0758,130.3800,1.4688,0.66440,1.9531,31.5070,7.4317,244.3200,0.7861,4.1587,35237.0000,9.1065,83.3800,7.4935,7.5825,34.0448,1793000.0000,1.8216,3.9035,1.6411,8.9044,8.3907,9623.4800,5.2962,51.4470,1294.0800,11.8142,4.0882,1.9565,58.0690,1.8888,46.3046,8.9843
"14 FEB 2003",1.0793,130.0400,1.4692,0.66770,1.9527,31.3870,7.4318,245.4500,0.7876,4.1610,35217.0000,9.1066,83.5800,7.5355,7.5955,34.1812,1795000.0000,1.8186,3.9622,1.6393,8.9334,8.4179,9637.6200,5.3092,51.6570,1298.9900,11.8013,4.1057,1.9549,58.2740,1.8929,46.5674,9.0055
"17 FEB 2003",1.0716,128.8300,1.4725,0.67040,1.9523,31.4730,7.4316,245.5500,0.7876,4.1515,35050.0000,9.1045,83.9400,7.5150,7.5955,33.8363,1755000.0000,1.8178,3.8840,1.6315,8.8696,8.3578,9543.9400,5.2058,51.2090,1293.6900,11.5666,4.0727,1.9505,58.0950,1.8810,46.2139,9.0068
"18 FEB 2003",1.0714,127.3200,1.4701,0.67130,1.9535,31.5230,7.4321,245.7200,0.7839,4.1425,34950.0000,9.1215,84.9300,7.5215,7.6095,33.8117,1737000.0000,1.8140,3.8420,1.6325,8.8680,8.3564,9512.6900,5.1931,51.0700,1285.8400,11.5419,4.0719,1.9454,58.0520,1.8741,46.0767,8.9837
"19 FEB 2003",1.0717,127.5600,1.4722,0.67270,1.9530,31.5880,7.4317,246.2300,0.7841,4.1573,34910.0000,9.1013,84.8600,7.5255,7.6075,33.8320,1751000.0000,1.8080,3.8365,1.6229,8.8705,8.3587,9517.1400,5.2089,51.0690,1289.2600,11.6119,4.0727,1.9400,58.1690,1.8779,46.1067,8.9796
"20 FEB 2003",1.0763,127.8400,1.4707,0.67445,1.9535,31.6120,7.4311,246.1100,0.7856,4.1890,35150.0000,9.1073,84.3700,7.5360,7.6095,33.9134,1761000.0000,1.8059,3.8797,1.6212,8.9085,8.3945,9523.8600,5.2432,51.3610,1280.1500,11.6714,4.0917,1.9407,58.3870,1.8798,46.1710,8.7543
"21 FEB 2003",1.0838,128.7000,1.4673,0.67900,1.9545,31.7300,7.4311,246.4600,0.7894,4.2022,35555.0000,9.1300,84.5600,7.5470,7.6230,34.1944,1760000.0000,1.8081,3.8999,1.6316,8.9706,8.4528,9663.0700,5.2860,51.6190,1291.7800,11.8804,4.1186,1.9345,58.7940,1.8900,46.4430,8.7233
"24 FEB 2003",1.0721,126.3500,1.4692,0.68000,1.9542,31.6880,7.4292,245.3100,0.7834,4.1787,35213.0000,9.1248,84.1900,7.5530,7.6245,33.8210,1756000.0000,1.7810,3.8413,1.6054,8.8738,8.3615,9533.2200,5.2190,51.2280,1275.8000,11.7014,4.0742,1.9012,58.2980,1.8645,45.9256,8.6983
"25 FEB 2003",1.0774,126.2200,1.4649,0.68400,1.9543,31.5780,7.4276,244.5600,0.7856,4.1811,35430.0000,9.1180,84.4500,7.6295,7.6295,34.0484,1743000.0000,1.7789,3.8544,1.6059,8.9176,8.4025,9570.0600,5.2505,51.3530,1270.0400,11.8540,4.0918,1.9037,58.4980,1.8681,45.9526,8.7054
"26 FEB 2003",1.0753,126.2100,1.4612,0.68220,1.9545,31.5840,7.4280,244.2900,0.7854,4.1808,35508.0000,9.0996,84.0900,7.6115,7.6395,33.9629,1742000.0000,1.7757,3.8415,1.6081,8.9003,8.3860,9556.2900,5.2257,51.2040,1274.2300,11.8767,4.0860,1.9084,58.4350,1.8661,45.9509,8.5694
"27 FEB 2003",1.0822,126.4500,1.4630,0.68420,1.9538,31.6500,7.4277,243.2900,0.7879,4.2065,35757.0000,9.1203,84.1700,7.7825,7.6415,34.1764,1747000.0000,1.7802,3.8847,1.6120,8.9574,8.4398,9629.7700,5.2384,51.5560,1280.7800,11.9770,4.1127,1.9132,58.8500,1.8744,46.0627,8.7545
"28 FEB 2003",1.0782,127.3200,1.4629,0.68420,1.9532,31.8020,7.4282,243.6400,0.7865,4.2148,35717.0000,9.1458,83.9000,7.7250,7.6595,34.0543,1721000.0000,1.7816,3.8405,1.6088,8.9243,8.4090,9579.5200,5.1962,51.3400,1286.2900,11.9018,4.0989,1.9314,58.7970,1.8741,46.1210,8.7603
"03 MAR 2003",1.0800,127.4200,1.4621,0.68530,1.9533,31.8220,7.4288,244.4500,0.7884,4.2423,35703.0000,9.1930,83.7200,7.7335,7.6795,34.1273,1785000.0000,1.7653,3.8534,1.6028,8.9392,8.4227,9596.4000,5.2187,51.4200,1280.8800,11.8709,4.1050,1.9300,58.9550,1.8761,46.1159,8.7132
"04 MAR 2003",1.0919,128.3800,1.4595,0.68990,1.9540,31.8980,7.4288,245.3100,0.7936,4.3222,35913.0000,9.1925,84.0700,7.7770,7.6925,34.4756,1782000.0000,1.7808,3.8926,1.6209,9.0377,8.5155,9665.6800,5.2870,51.9580,1299.3600,12.1541,4.1479,1.9417,59.4630,1.8949,46.5328,8.6984
"05 MAR 2003",1.0966,128.7700,1.4590,0.68760,1.9537,31.8450,7.4273,245.3300,0.7947,4.2948,36047.0000,9.1890,84.4500,7.7775,7.6795,34.6353,1757000.0000,1.7778,3.9105,1.6157,9.0766,8.5524,9726.1700,5.3229,52.1890,1314.9900,12.2693,4.1663,1.9455,60.0340,1.9007,46.6848,8.6879
"06 MAR 2003",1.0963,128.7300,1.4640,0.68310,1.9525,31.8320,7.4266,245.0600,0.7946,4.2857,35965.0000,9.2155,84.1100,7.8310,7.6795,34.6189,1763000.0000,1.7840,3.8699,1.6137,9.0741,8.5499,9716.7000,5.3105,52.1460,1327.1800,12.3042,4.1646,1.9410,60.0860,1.9032,46.7149,8.7636
"07 MAR 2003",1.1039,128.6800,1.4653,0.68670,1.9519,31.8520,7.4256,245.2400,0.7976,4.3153,36087.0000,9.2395,84.5800,7.8830,7.6805,34.8475,1780000.0000,1.7898,3.8758,1.6170,9.1370,8.6090,9812.1600,5.3462,52.5900,1345.4300,12.4027,4.1966,1.9498,60.5790,1.9136,46.9791,8.8037
"10 MAR 2003",1.1042,128.7100,1.4686,0.69050,1.9507,31.7730,7.4261,245.4000,0.7975,4.3633,36084.0000,9.2517,84.7900,7.9340,7.6425,34.8373,1777000.0000,1.7948,3.8857,1.6161,9.1395,8.6114,9808.1700,5.3576,52.6130,1367.7700,12.3044,4.1958,1.9642,60.6240,1.9155,46.8988,8.7537
"11 MAR 2003",1.1080,129.3400,1.4664,0.69080,1.9514,31.7620,7.4270,245.4500,0.7999,4.3827,36053.0000,9.2955,85.1100,7.9340,7.6605,34.8718,1803000.0000,1.8143,3.8880,1.6209,9.1709,8.6411,9839.1500,5.3660,52.7930,1362.2900,12.2584,4.2093,1.9860,60.7850,1.9230,46.9887,8.7346
"12 MAR 2003",1.1028,129.2100,1.4674,0.68350,1.9509,31.6530,7.4276,245.2700,0.7963,4.3743,35878.0000,9.3133,85.3000,7.8665,7.6645,34.6641,1786000.0000,1.8446,3.8474,1.6240,9.1279,8.6006,9816.8800,5.3262,52.6090,1371.6600,12.0358,4.1950,2.0056,60.8010,1.9269,47.1387,8.8431
"13 MAR 2003",1.0864,128.6000,1.4689,0.67710,1.9503,31.5850,7.4267,244.9500,0.7893,4.3740,35635.0000,9.2735,84.1400,7.8195,7.6605,34.0875,1775000.0000,1.8346,3.7264,1.6117,8.9921,8.4728,9673.9500,5.1984,51.7210,1347.1400,11.7081,4.1281,1.9884,59.6900,1.9020,46.4958,8.8124
"14 MAR 2003",1.0775,127.7000,1.4677,0.67770,1.9498,31.6280,7.4291,244.6500,0.7867,4.3382,35427.0000,9.2055,84.1400,7.7760,7.6545,33.8254,1775000.0000,1.8075,3.6581,1.6034,8.9185,8.4030,9609.0600,5.1828,51.3020,1337.5500,11.7278,4.0947,1.9650,59.0230,1.8926,46.0868,8.8664
"17 MAR 2003",1.0801,127.1600,1.4671,0.68270,1.9488,31.6910,7.4282,244.8500,0.7880,4.3725,35403.0000,9.2223,84.4500,7.8040,7.6475,33.9028,1824000.0000,1.8011,3.7280,1.5878,8.9400,8.4238,9688.0500,5.2007,51.4430,1346.3400,11.8104,4.1042,1.9528,59.2680,1.8975,46.1074,8.7688
"18 MAR 2003",1.0586,126.0600,1.4714,0.67740,1.9499,31.5650,7.4279,245.2500,0.7799,4.3227,35427.0000,9.2367,84.2800,7.8560,7.6455,33.2770,1755000.0000,1.7973,3.6216,1.5708,8.7620,8.2561,9572.4600,5.0812,50.4680,1327.2700,11.3948,4.0238,1.9438,58.2660,1.8737,45.4904,8.7308
"19 MAR 2003",1.0570,126.0800,1.4713,0.67870,1.9500,31.5700,7.4288,245.3300,0.7781,4.3032,35395.0000,9.1960,84.4900,7.8785,7.6705,33.1722,1796000.0000,1.7863,3.6414,1.5675,8.7488,8.2437,9604.5800,5.0123,50.3620,1328.6500,11.4827,4.0162,1.9212,58.1670,1.8697,45.3939,8.6616
"20 MAR 2003",1.0592,127.4700,1.4714,0.67700,1.9508,31.6950,7.4283,246.0900,0.7798,4.3105,35600.0000,9.1857,84.7200,7.9200,7.6955,33.3038,1806000.0000,1.7880,3.6831,1.5696,8.7670,8.2607,9570.6800,5.0282,50.6120,1319.6600,11.5455,4.0320,1.9152,57.7480,1.8734,45.5668,8.6166
"21 MAR 2003",1.0572,127.8200,1.4756,0.67570,1.9520,31.6500,7.4281,246.4200,0.7802,4.3087,35785.0000,9.1640,85.0400,7.8615,7.6895,33.2014,1820000.0000,1.7831,3.6573,1.5654,8.7504,8.2449,9492.0100,5.0193,50.4090,1319.0700,11.4218,4.0200,1.9190,57.5820,1.8699,45.5426,8.6170
"24 MAR 2003",1.0634,128.2800,1.4750,0.67630,1.9522,31.7070,7.4282,246.3300,0.7825,4.3342,35978.0000,9.1875,84.5500,7.8520,7.6960,33.3684,1875000.0000,1.7928,3.6485,1.5808,8.8018,8.2933,9518.3300,5.0182,50.6550,1330.3100,11.4593,4.0413,1.9296,57.9350,1.8778,45.6082,8.6947
"25 MAR 2003",1.0691,128.2200,1.4720,0.67840,1.9506,31.7980,7.4265,246.1600,0.7844,4.3315,36000.0000,9.2380,83.7000,7.8290,7.7095,33.5267,1853000.0000,1.7908,3.6145,1.5769,8.8489,8.3380,9514.5500,5.0214,50.8370,1336.8000,11.4832,4.0601,1.9312,58.0220,1.8867,45.7564,8.6383
"26 MAR 2003",1.0667,128.1900,1.4739,0.67790,1.9488,31.8120,7.4263,246.2600,0.7847,4.3348,35917.0000,9.2170,83.9900,7.8135,7.6925,33.4733,1831000.0000,1.7830,3.5980,1.5669,8.8291,8.3190,9510.0800,4.9992,50.7140,1327.4000,11.4276,4.0537,1.9410,57.2800,1.8876,45.7476,8.5016
"27 MAR 2003",1.0723,128.3900,1.4793,0.68110,1.9496,31.8230,7.4263,246.3800,0.7862,4.3587,35940.0000,9.2527,84.1800,7.8415,7.6945,33.6526,1846000.0000,1.7852,3.6437,1.5711,8.8754,8.3631,9543.0300,5.0312,50.9770,1336.8400,11.5383,4.0746,1.9510,57.1830,1.8961,45.9888,8.5421
"28 MAR 2003",1.0730,128.8900,1.4766,0.68650,1.9500,31.8630,7.4266,246.9800,0.7873,4.3727,35972.0000,9.2271,83.0400,7.8570,7.6755,33.6683,1834000.0000,1.7853,3.6332,1.5736,8.8812,8.3684,9563.5600,5.0570,50.9700,1350.9100,11.5348,4.0776,1.9495,57.4570,1.9011,46.1197,8.5450
"31 MAR 2003",1.0895,129.1800,1.4764,0.68960,1.9508,31.9470,7.4264,246.3500,0.7931,4.4200,36250.0000,9.2608,83.5800,7.8995,7.6645,34.1923,1864000.0000,1.8076,3.6907,1.6037,9.0178,8.4975,9698.1900,5.1108,51.7290,1366.7800,11.7443,4.1401,1.9721,58.3160,1.9211,46.7396,8.6356
"01 ABR 2003",1.0891,128.8000,1.4768,0.69080,1.9497,31.9670,7.4265,248.0600,0.7930,4.4298,36210.0000,9.2284,84.0700,7.9250,7.6030,34.0752,1849000.0000,1.8048,3.6518,1.5995,9.0145,8.4943,9687.9900,5.0861,51.6810,1368.5100,11.7351,4.1388,1.9693,58.1010,1.9288,46.6647,8.5848
"02 ABR 2003",1.0830,128.7200,1.4827,0.68770,1.9505,32.0600,7.4261,247.5200,0.7903,4.4060,36275.0000,9.2468,83.7300,7.8330,7.5855,33.8839,1836000.0000,1.8023,3.5880,1.6019,8.9640,8.4465,9620.9300,5.0603,51.3100,1358.1900,11.5749,4.1152,1.9685,57.5860,1.9164,46.4803,8.6153
"03 ABR 2003",1.0702,127.8500,1.4854,0.68530,1.9500,31.8550,7.4261,246.2100,0.7855,4.3587,36310.0000,9.2017,83.2800,7.8250,7.5450,33.4489,1800000.0000,1.7936,3.4889,1.5773,8.8580,8.3468,9509.1100,4.9925,50.6750,1342.9900,11.3534,4.0626,1.9585,56.7750,1.9010,46.0034,8.4907
"04 ABR 2003",1.0720,128.7000,1.4865,0.68440,1.9497,31.7810,7.4265,245.4300,0.7870,4.3615,36430.0000,9.1982,83.8200,7.7980,7.5120,33.5515,1777000.0000,1.7842,3.4892,1.5824,8.8729,8.3611,9538.5500,5.0090,50.8440,1348.5800,11.4500,4.0761,1.9705,57.0920,1.9044,46.2205,8.5424
"07 ABR 2003",1.0582,127.8200,1.4873,0.68280,1.9489,31.5810,7.4265,244.8400,0.7813,4.3275,36320.0000,9.1755,83.7700,7.7720,7.5035,33.1131,1748000.0000,1.7812,3.3757,1.5758,8.7587,8.2534,9403.1900,4.9153,50.1630,1330.7900,11.2662,4.0223,1.9790,56.3920,1.8873,45.7801,8.5450
"08 ABR 2003",1.0660,127.9000,1.4859,0.68720,1.9483,31.5430,7.4263,244.7300,0.7841,4.3255,36437.0000,9.1691,83.7000,7.7735,7.5170,33.3264,1747000.0000,1.7768,3.3472,1.5760,8.8233,8.3141,9459.4200,4.9526,50.5180,1336.1200,11.4131,4.0491,1.9606,56.2880,1.8998,45.9039,8.5826
"09 ABR 2003",1.0742,128.8600,1.4878,0.69020,1.9471,31.3550,7.4264,244.3500,0.7882,4.2829,36535.0000,9.1377,83.5500,7.8020,7.5170,33.6050,1772000.0000,1.7807,3.4205,1.5773,8.8912,8.3782,9523.5800,4.9818,50.9670,1342.5400,11.6078,4.0825,1.9667,56.4840,1.9145,46.1756,8.5103
"10 ABR 2003",1.0805,129.1800,1.4948,0.69000,1.9464,31.4400,7.4265,244.2000,0.7912,4.2520,36650.0000,9.1458,83.9200,7.8860,7.5505,33.7855,1786000.0000,1.7837,3.4803,1.5813,8.9433,8.4272,9563.0200,5.0146,51.1590,1328.7400,11.6848,4.1048,1.9739,56.7380,1.9188,46.3298,8.4091
"11 ABR 2003",1.0735,129.1300,1.4974,0.68420,1.9462,31.4920,7.4262,244.4600,0.7872,4.2468,36585.0000,9.1380,83.2400,7.9000,7.5495,33.5962,1768000.0000,1.7765,3.4536,1.5619,8.8854,8.3726,9535.7700,5.0047,50.8400,1319.9200,11.4827,4.0818,1.9712,56.2590,1.9101,46.1509,8.3894
"14 ABR 2003",1.0737,129.6800,1.4966,0.68270,1.9461,31.5680,7.4261,245.5200,0.7875,4.2522,36630.0000,9.1275,83.2800,7.8760,7.5395,33.4969,1751000.0000,1.7826,3.4203,1.5657,8.8870,8.3742,9506.1900,4.9337,50.8350,1314.2100,11.3842,4.0797,1.9705,56.4450,1.9124,46.0682,8.4018
"15 ABR 2003",1.0784,129.7900,1.4999,0.68570,1.9461,31.5250,7.4250,245.1200,0.7903,4.2395,36560.0000,9.1370,83.0600,7.8790,7.5095,33.6340,1743000.0000,1.7831,3.4088,1.5696,8.9259,8.4108,9534.8700,4.9423,51.0150,1312.9000,11.4788,4.0975,1.9706,56.4660,1.9199,46.2807,8.3414
"16 ABR 2003",1.0836,130.3900,1.5021,0.68770,1.9467,31.5830,7.4250,245.6500,0.7923,4.2852,36670.0000,9.1572,82.9800,7.8390,7.5235,33.7916,1748000.0000,1.7724,3.3207,1.5681,8.9690,8.4516,9543.3700,4.9629,51.2520,1314.4100,11.4818,4.1175,1.9445,56.6430,1.9254,46.3977,8.3166
"17 ABR 2003",1.0920,130.2900,1.4998,0.69170,1.9469,31.5810,7.4254,245.3700,0.7952,4.2683,36843.0000,9.1655,82.8600,7.8360,7.5245,34.0764,1756000.0000,1.7789,3.3788,1.5881,9.0385,8.5172,9530.7600,5.0032,51.6580,1317.3900,11.5685,4.1509,1.9671,56.9940,1.9309,46.7308,8.2664
"18 ABR 2003","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"21 ABR 2003","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"22 ABR 2003",1.0971,131.3700,1.5058,0.69610,1.9467,31.6810,7.4255,246.2400,0.7979,4.2690,36737.0000,9.1410,83.1700,7.8475,7.5225,34.1682,1756000.0000,1.7659,3.3604,1.5904,9.0807,8.5570,9601.3300,5.0686,51.9840,1341.7500,11.6117,4.1745,1.9565,57.6470,1.9459,46.9301,8.2919
"23 ABR 2003",1.0944,131.6300,1.5068,0.69350,1.9464,31.6700,7.4253,245.6300,0.7972,4.2603,36557.0000,9.1115,83.0800,7.8350,7.5345,34.0354,1767000.0000,1.7646,3.3281,1.5845,9.0583,8.5357,9553.6800,5.0561,51.8070,1334.0200,11.5629,4.1586,1.9608,57.4480,1.9457,46.7944,8.2698
"24 ABR 2003",1.1008,132.0300,1.5055,0.69150,1.9461,31.7170,7.4247,245.8100,0.7991,4.2970,36635.0000,9.1102,83.3300,7.8310,7.5505,34.2281,1756000.0000,1.7819,3.3074,1.6112,9.1113,8.5858,9613.7500,5.0174,52.0700,1343.5300,11.5178,4.1823,1.9877,58.1390,1.9567,47.0837,8.0279
"25 ABR 2003",1.0973,132.7300,1.5021,0.69140,1.9461,31.5550,7.4234,245.7300,0.7983,4.2773,36660.0000,9.1095,83.2400,7.8120,7.5965,34.1500,1749000.0000,1.7820,3.3219,1.5990,9.0824,8.5586,9594.3400,5.0257,51.9840,1358.3500,11.4193,4.1715,1.9821,58.2630,1.9611,47.2801,8.0487
"28 ABR 2003",1.1025,132.5400,1.5039,0.69140,1.9462,31.5560,7.4245,245.5500,0.7994,4.2740,36685.0000,9.1337,82.8500,7.7560,7.5455,34.2715,1749000.0000,1.7759,3.3081,1.5951,9.1254,8.5989,9629.2800,5.0405,52.1850,1348.0300,11.4790,4.1876,1.9776,58.2960,1.9589,47.2924,7.8511
"29 ABR 2003",1.0956,131.9100,1.5075,0.68910,1.9462,31.4220,7.4246,245.6800,0.7964,4.2597,36640.0000,9.1305,83.0400,7.7705,7.5555,34.1143,1743000.0000,1.7726,3.2430,1.5927,9.0683,8.5449,9550.8200,4.9510,51.9250,1333.8900,11.3722,4.1681,1.9735,57.9410,1.9487,47.0878,7.8922
"30 ABR 2003",1.1131,132.9800,1.5131,0.69700,1.9463,31.4330,7.4243,245.7300,0.8043,4.2680,37015.0000,9.1175,83.6100,7.8380,7.5845,34.6153,1750000.0000,1.7822,3.2119,1.6038,9.2131,8.6810,9653.1800,5.0679,52.6760,1352.6900,11.4473,4.2292,1.9900,58.4690,1.9764,47.6955,8.0071
"01 MAY 2003","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"02 MAY 2003",1.1239,133.4000,1.5104,0.69980,1.9464,31.2670,7.4246,245.8500,0.8075,4.2445,37310.0000,9.1168,83.5500,7.8535,7.5695,34.9295,1726000.0000,1.7802,3.2717,1.5925,9.3025,8.7653,9723.1500,5.0441,53.1150,1362.5000,11.5111,4.2663,1.9991,58.9980,1.9874,48.0011,8.3618
"05 MAY 2003",1.1218,133.4600,1.5134,0.69960,1.9464,31.2870,7.4257,245.0100,0.8057,4.2388,37310.0000,9.0833,83.5900,7.8660,7.5855,34.8973,1715000.0000,1.7746,3.3183,1.5926,9.2851,8.7489,9627.8500,5.0257,53.0620,1360.1800,11.4216,4.2629,1.9890,58.7550,1.9775,47.8953,8.2229
"06 MAY 2003",1.1344,133.9200,1.5144,0.70440,1.9464,31.3030,7.4258,245.1100,0.8127,4.2742,37523.0000,9.0968,83.6600,7.8830,7.5786,35.3023,1736000.0000,1.7801,3.4444,1.5956,9.3894,8.8393,9758.0000,5.0639,53.5900,1365.8200,11.5962,4.3118,1.9977,59.3140,1.9781,48.3191,8.3549
"07 MAY 2003",1.1427,133.6200,1.5140,0.71210,1.9464,31.3720,7.4256,244.8900,0.8163,4.3320,37607.0000,9.1080,83.7400,7.8675,7.5855,35.5166,1750000.0000,1.7805,3.4332,1.5889,9.4581,8.9119,9710.2800,5.0930,53.9390,1370.1000,11.7077,4.3398,1.9958,59.4160,1.9905,48.5657,8.3809
"08 MAY 2003",1.1435,132.7800,1.5046,0.71190,1.9462,31.3780,7.4255,244.9700,0.8175,4.3124,37560.0000,9.1160,84.2300,7.8600,7.5645,35.5695,1735000.0000,1.7839,3.3442,1.5984,9.4647,8.9166,9773.3500,5.1172,54.0500,1370.8300,11.7097,4.3463,1.9953,59.5610,1.9860,48.5408,8.3504
"09 MAY 2003",1.1466,134.7600,1.5074,0.71560,1.9462,31.4630,7.4244,245.1300,0.8171,4.3320,37503.0000,9.1748,84.4400,7.8655,7.5145,35.6547,1719000.0000,1.7806,3.3217,1.6049,9.4904,8.9424,9814.9000,5.1104,54.0620,1375.9200,11.5870,4.3571,1.9915,59.9390,1.9978,48.8165,8.3186
"12 MAY 2003",1.1597,135.0500,1.5133,0.71970,1.9466,31.4630,7.4247,245.1800,0.8229,4.3472,37598.0000,9.1940,84.2000,7.8755,7.5275,35.9531,1743000.0000,1.7868,3.3312,1.6107,9.5988,9.0443,9758.8800,5.1734,54.6800,1386.4200,11.7634,4.4069,1.9966,60.3570,2.0105,49.1423,8.5456
"13 MAY 2003",1.1518,134.4100,1.5165,0.71650,1.9465,31.4780,7.4243,244.6800,0.8196,4.3372,37535.0000,9.1850,84.0200,7.8740,7.4989,35.7013,1722000.0000,1.7820,3.2930,1.6015,9.5334,8.9830,9718.4600,5.1789,54.3060,1381.5800,11.7693,4.3795,1.9991,60.0740,1.9955,48.8026,8.4854
"14 MAY 2003",1.1499,134.2500,1.5129,0.71180,1.9464,31.5150,7.4244,244.8100,0.8185,4.3302,37518.0000,9.1785,83.8900,7.8730,7.4905,35.6243,1707000.0000,1.7810,3.3232,1.5977,9.5177,8.9677,9717.0800,5.1493,54.2150,1379.8800,11.6470,4.3698,2.0020,59.9820,1.9911,48.5509,8.6012
"15 MAY 2003",1.1458,132.8500,1.5103,0.70720,1.9461,31.3850,7.4243,244.7500,0.8146,4.3270,37520.0000,9.1578,83.7800,7.8490,7.5085,35.5080,1702000.0000,1.7756,3.3423,1.5759,9.4838,8.9364,9685.8200,5.1332,54.0000,1370.7200,11.8597,4.3558,1.9970,59.6910,1.9685,48.1712,9.0375
"16 MAY 2003",1.1492,133.5300,1.5074,0.70650,1.9462,31.2930,7.4238,245.1200,0.8183,4.3335,37517.0000,9.1490,83.8300,7.8540,7.5055,35.5045,1719000.0000,1.7736,3.4329,1.5769,9.5119,8.9628,9725.2000,5.1537,54.1810,1378.8700,11.9082,4.3683,1.9879,60.4610,1.9847,48.4478,8.9286
"19 MAY 2003",1.1652,135.9300,1.5135,0.71320,1.9468,31.3720,7.4243,245.2100,0.8217,4.3337,37737.0000,9.1869,85.2900,7.9200,7.5101,35.9801,1737000.0000,1.7808,3.4280,1.5846,9.6444,9.0871,9797.2300,5.2574,54.6830,1389.5000,12.0101,4.4269,1.9964,61.0730,2.0102,49.0153,9.1005
"20 MAY 2003",1.1644,136.3600,1.5123,0.71300,1.9466,31.4700,7.4244,245.1100,0.8237,4.3273,37687.0000,9.1700,85.7600,7.9305,7.5131,35.9629,1702000.0000,1.7756,3.4845,1.5777,9.6377,9.0811,9768.4800,5.2829,54.5820,1397.2800,12.0180,4.4244,1.9949,61.4700,2.0137,49.0287,9.0926
"21 MAY 2003",1.1689,136.9500,1.5077,0.71160,1.9464,31.4430,7.4243,245.8800,0.8246,4.3629,37722.0000,9.1830,85.4400,7.8415,7.5331,36.0942,1703000.0000,1.7775,3.5307,1.5783,9.6750,9.1162,9719.8300,5.3594,54.7490,1395.9600,11.9606,4.4407,2.0004,61.4980,2.0175,49.0228,9.0940
"22 MAY 2003",1.1720,137.1000,1.5124,0.71630,1.9464,31.3800,7.4243,245.8500,0.8281,4.3475,37700.0000,9.1478,84.7600,7.8475,7.5245,36.0854,1729000.0000,1.7795,3.4996,1.5902,9.7006,9.1404,9773.2100,5.3256,54.9460,1400.8900,11.9489,4.4557,2.0148,61.9400,2.0150,49.1885,9.2119
"23 MAY 2003",1.1790,137.8700,1.5216,0.72010,1.9465,31.4100,7.4242,246.0700,0.8301,4.3475,37665.0000,9.1679,84.0400,7.8790,7.5255,36.2198,1728000.0000,1.7860,3.5149,1.6273,9.7586,9.1949,9751.9900,5.2724,55.2690,1407.7300,12.0927,4.4810,2.0178,62.1140,2.0313,49.4026,9.2375
"26 MAY 2003",1.1813,138.5300,1.5262,0.72100,1.9463,31.3950,7.4246,245.9800,0.8633,4.3460,37703.0000,9.1984,84.7900,7.8680,7.5211,36.2857,1722000.0000,1.7953,3.4432,1.6279,9.7776,9.2124,9657.5400,5.2504,55.3940,1416.3800,12.1289,4.4892,2.0242,62.3690,2.0346,49.3745,9.3264
"27 MAY 2003",1.1901,138.9300,1.5279,0.72350,1.9461,31.4120,7.4243,245.8200,0.8345,4.3751,37839.0000,9.1930,85.2700,7.8600,7.5405,36.5447,1730000.0000,1.8041,3.5756,1.6366,9.8505,9.2812,9733.3900,5.2665,55.7470,1426.3300,12.2361,4.5216,2.0333,62.9160,2.0480,49.5237,9.5075
